episode,step,reward,min_range,v,w,timestamp
1,369,-0.098,0.7792300581932068,-0.08,0.9,1762042332.3312442
1,370,-0.098,0.7790798544883728,-0.08,0.9,1762042332.4312527
1,371,-0.098,0.7787772417068481,-0.08,0.9,1762042332.531212
1,372,-0.098,0.7774239778518677,-0.08,0.9,1762042332.6312587
1,373,-0.098,0.7703014016151428,-0.08,0.9,1762042332.731243
1,374,-0.098,0.7680503129959106,-0.08,0.9,1762042332.8312109
1,375,-0.098,0.7643960118293762,-0.08,0.9,1762042332.9312584
1,376,-0.098,0.7625110149383545,-0.08,0.9,1762042333.0312545
1,377,0.156,0.7589868307113647,0.18,1.2,1762042333.1312838
1,378,-0.098,0.7590952515602112,-0.08,-0.9,1762042333.2312174
1,379,-0.098,0.7589693069458008,-0.08,-0.9,1762042333.3312144
1,380,-0.098,0.7590038776397705,-0.08,-0.9,1762042333.431243
1,381,-0.098,0.7595751285552979,-0.08,-0.9,1762042333.531277
1,382,-0.098,0.7595947980880737,-0.08,-0.9,1762042333.631249
1,383,-0.098,0.7597089409828186,-0.08,-0.9,1762042333.7312498
1,384,-0.098,0.7597089409828186,-0.08,-0.9,1762042333.831231
1,385,-0.098,0.7597089409828186,-0.08,-0.9,1762042333.93122
1,386,0.156,0.7597089409828186,0.18,1.2,1762042334.031213
1,387,-0.098,0.7599675059318542,-0.08,0.9,1762042334.131209
